,Unnamed: 0,State,City,Population,Total (Violent and Property),Murder/Manslaughter,Rape,Robbery,Assault,Total Violent,Burglary,Larceny/Theft,Vehicle Theft,Total Property,Arson
0,0,Alabama,Mobile,248431,6217.02,20.13,58.16,177.11,485.85,740.25,1216.84,3730.21,506.78,5453.83,22.94
1,1,Alaska,Anchorage,296188,6640.04,9.12,132.01,262.67,799.49,1203.29,748.17,3619.66,1047.98,5415.82,20.93
2,2,Arizona,Chandler,249355,2589.08,2.01,52.13,56.95,148.68,259.47,314.41,1866.01,149.18,2329.61,24.661956521739135
3,3,Arizona,Gilbert,242090,1483.75,2.07,16.11,21.07,46.26,85.51,192.49,1137.59,55.76,1385.85,12.39
4,4,Arizona,Glendale,249273,5037.85,4.81,38.91,192.96,251.53,488.22,637.45,3426.36,466.56,4530.37,19.26
5,5,Arizona,Mesa,492268,2592.49,4.67,51.19,92.23,267.74,415.83,381.5,1610.91,179.58,2171.99,4.67
6,6,Arizona,Phoenix,1608139,4443.2,9.55,69.46,200.28,481.64,760.93,778.57,2426.69,465.46,3670.71,11.56
7,7,Arizona,Scottsdale,251840,2338.38,1.99,40.9,39.71,74.65,157.24,348.63,1725.7,97.68,2172.01,9.13
8,8,Arizona,Tucson,532323,6082.78,8.64,93.55,268.82,430.75,801.77,831.07,3968.46,452.17,5251.7,29.31
9,9,California,Anaheim,353400,2997.74,2.83,32.54,135.82,183.36,354.56,382.29,1809.0,439.16,2630.45,12.73
10,10,California,Bakersfield,381154,4618.34,10.76,24.14,197.56,246.88,479.33,962.08,2377.78,728.58,4068.43,70.58
11,11,California,Chula Vista,271109,1738.79,0.74,22.87,112.13,162.3,298.04,236.07,915.5,280.7,1432.27,8.48
12,12,California,Fremont,236368,2343.8,0.85,28.77,79.11,73.61,182.34,284.73,1499.78,365.95,2150.46,11.0
13,13,California,Fresno,526371,4447.63,10.64,33.06,182.0,339.3,565.0,693.24,2618.31,529.85,3841.4,41.23
14,14,California,Irvine,276115,1381.31,0.72,16.66,19.92,23.9,61.21,227.08,1019.14,70.26,1316.48,3.62
15,15,California,Long Beach,471397,3357.25,4.67,43.06,262.41,347.69,657.83,586.55,1507.01,578.92,2672.48,26.94
16,16,California,Los Angeles,3898747,3332.52,7.01,61.27,269.87,423.17,761.31,415.96,1640.99,478.97,2535.92,35.29
17,17,California,Oakland,424915,7328.29,16.24,94.14,629.77,559.17,1299.32,617.06,4072.58,1293.2,5982.84,46.13
18,18,California,Riverside,328023,3589.38,3.66,50.61,165.84,288.7,508.81,510.03,2020.89,527.4,3058.32,22.25
19,19,California,Sacramento,499997,3654.02,7.8,19.8,220.0,428.0,675.6,577.6,1815.41,543.6,2936.62,41.8
20,20,California,San Bernardino,217259,5189.66,15.65,72.72,403.67,799.05,1291.09,983.16,1836.52,1048.06,3867.73,30.84
21,21,California,San Diego,1386932,2220.67,2.46,39.25,99.01,225.89,366.61,268.03,1214.37,360.57,1842.97,11.09
22,22,California,San Francisco,881255,6917.4,6.35,41.65,365.39,301.62,715.0,560.0,5059.49,548.54,6168.02,34.38
23,23,California,San Jose,1013240,2861.02,3.08,55.03,132.62,212.91,403.65,378.4,1284.69,777.62,2440.7,16.67
24,24,California,Santa Ana,335699,2596.67,6.26,56.0,180.22,246.05,488.53,276.74,1223.72,589.81,2090.27,17.87
25,25,California,Santa Clarita,216350,1592.79,1.85,18.49,56.39,85.97,162.7,311.53,923.04,189.51,1424.08,6.01
26,26,California,Stockton,309566,5109.09,17.77,49.75,390.22,956.82,1414.56,691.29,2274.15,661.89,3627.34,67.19
27,27,Colorado,Aurora,368018,3630.53,8.15,86.68,184.5,329.06,608.39,454.05,1954.8,594.81,3003.66,18.48
28,28,Colorado,Colorado Springs,472958,3765.25,6.13,103.39,101.91,312.71,524.15,530.28,2235.08,451.41,3216.78,24.32
29,29,Colorado,Denver,706616,4360.93,8.35,98.92,174.35,393.99,675.61,612.92,2267.29,786.85,3667.06,18.26
30,30,District of Columbia,"Washington, D.C.",693972,5104.96,16.72,63.84,338.77,529.42,948.74,260.53,3528.96,366.73,4156.22,24.661956521739135
31,31,Florida,Hialeah,238260,2422.14,2.52,13.85,64.64,117.52,198.52,248.89,1677.16,287.5,2213.55,10.07
32,32,Florida,Jacksonville,894638,4168.73,12.18,60.14,153.81,405.19,631.32,631.09,2568.64,326.95,3526.68,10.73
33,33,Florida,Miami,463009,4750.89,11.23,22.68,211.23,475.8,720.94,526.99,3090.87,396.32,4014.18,15.77
34,34,Florida,Orlando,283982,6206.38,8.1,64.44,213.04,458.48,744.06,840.9,4125.26,488.41,5454.57,7.75
35,35,Florida,St. Petersburg,263712,5029.35,7.58,51.57,189.22,450.11,698.49,671.95,3269.85,370.86,4312.66,18.2
36,36,Florida,Tampa,384360,2218.24,10.15,31.48,105.63,317.15,464.41,321.31,1274.85,147.52,1743.68,10.15
37,37,Georgia,Atlanta,481343,5727.52,16.41,58.59,293.55,567.16,935.72,704.28,3387.19,684.96,4776.43,15.37
38,38,Georgia,Savannah,242941,3901.36,14.41,41.16,156.83,250.27,462.66,549.52,2494.84,386.93,3431.29,7.41
39,39,Hawaii,Honolulu,990384,3053.77,3.23,28.78,91.68,122.68,246.37,336.33,2073.94,364.1,2774.38,33.02
40,40,Idaho,Boise,225677,2741.97,0.89,63.81,22.6,191.87,279.16,326.13,1965.2,153.32,2444.64,18.17
41,41,Illinois,Chicago,2746388,4381.65,18.26,65.11,439.26,570.36,1098.86,477.13,2358.83,427.84,3263.8,18.99
42,42,Indiana,Fort Wayne,266259,3572.46,13.9,51.08,112.3,180.28,357.55,491.25,2488.55,199.81,3179.61,35.3
43,43,Indiana,Indianapolis,870788,5775.23,17.91,76.71,400.21,839.13,1333.96,1027.23,2821.47,563.17,4411.87,29.4
44,44,Iowa,Des Moines,217277,5102.7,12.89,33.6,167.53,456.1,670.11,1099.06,2734.3,579.9,4413.26,19.33
45,45,Kansas,Wichita,391084,6583.5,8.95,97.68,153.16,762.5,1022.29,838.95,4063.07,633.62,5535.64,25.57
46,46,Kentucky,Lexington,322332,4145.73,9.0,62.05,169.7,110.13,350.88,647.47,2739.72,394.93,3782.13,12.72
47,47,Kentucky,Louisville Metro,684362,4769.99,15.93,25.57,193.76,411.77,647.03,821.64,2735.98,564.61,4122.23,0.73
48,48,Louisiana,Baton Rouge,227403,6693.84,38.26,43.97,381.7,562.88,1026.81,1418.63,3739.62,435.79,5594.03,73.0
49,49,Louisiana,New Orleans,397447,5375.57,39.5,144.67,329.1,608.13,1121.41,560.83,3046.19,636.81,4243.84,10.32
50,50,Maryland,Baltimore,613217,6997.68,55.77,62.29,958.71,950.23,2027.01,1311.28,2773.57,843.26,4928.11,42.56
51,51,Massachusetts,Boston,682903,2758.22,8.35,42.47,205.59,412.8,669.2,308.83,1603.74,176.45,2089.02,24.661956521739135
52,52,Michigan,Detroit,670792,6726.82,39.8,103.91,393.42,1519.55,2056.67,1231.08,2093.79,1215.73,4540.6,129.55
53,53,Minnesota,Minneapolis,418971,5768.18,10.02,122.68,434.16,534.4,1101.27,897.91,3173.49,569.97,4641.37,25.54
54,54,Minnesota,St. Paul,306696,4262.86,7.17,70.75,227.26,345.62,650.81,741.45,2144.47,679.5,3565.42,46.63
55,55,Missouri,Kansas City,484948,6309.55,30.93,91.76,383.13,1218.48,1724.31,960.52,2670.39,912.88,4543.79,41.45
56,56,Missouri,St. Louis,310284,8188.31,66.07,93.14,626.52,1296.55,2082.29,1011.33,4155.55,874.36,6041.24,64.78
57,57,Nebraska,Omaha,449388,4527.49,6.9,91.24,139.08,410.11,647.32,464.63,2636.7,778.84,3880.17,24.661956521739135
58,58,Nevada,Henderson,299285,2025.17,3.34,28.74,80.19,72.84,185.11,363.87,1254.99,214.18,1833.04,7.02
59,59,Nevada,Las Vegas,627244,3567.87,12.6,79.64,211.15,315.5,618.9,805.17,1635.16,503.06,2943.38,5.59
60,60,Nevada,Paradise,242537,3405.26,9.07,47.83,232.95,724.84,1014.69,804.0,1037.37,544.66,2386.03,4.54
61,61,Nevada,Reno,248531,3766.53,7.64,57.14,153.7,455.07,673.56,541.98,1967.56,576.19,3085.73,7.24
62,62,New Jersey,Jersey City,267906,2330.67,7.84,45.91,199.32,256.43,509.51,417.68,1206.02,183.27,1806.98,14.18
63,63,New Jersey,Newark,283673,3316.84,27.14,40.89,377.19,451.22,896.45,423.73,1128.06,843.22,2395.01,25.38
64,64,New Mexico,Albuquerque,561375,8734.98,12.47,84.26,521.93,750.48,1369.14,1246.23,4750.84,1368.78,7365.84,24.661956521739135
65,65,New York,Buffalo,256169,4930.34,15.61,55.43,334.54,613.66,1019.25,919.71,2591.26,325.18,3836.14,74.95
66,66,New York,New York,8804190,1987.49,3.39,27.56,162.42,345.52,538.9,128.87,1253.15,66.56,1448.59,24.661956521739135
67,67,North Carolina8,Charlotte-Mecklenburg,914609,3836.39,9.4,59.94208333333333,220.53,433.52,726.7248958333333,701.5,2827.0,286.68,3815.18,21.21
68,68,North Carolina8,Raleigh,269088,3837.78,8.55,59.94208333333333,316.63,467.13,726.7248958333333,867.37,2675.7,283.18,3826.26,11.52
69,69,North Carolina8,Greensboro,290051,3601.78,15.86,59.94208333333333,228.93,480.61,726.7248958333333,710.91,2559.55,291.67,3562.13,39.65
70,70,Ohio,Cincinnati,309317,5997.0,23.4,97.62,399.84,426.26,947.12,1152.73,3400.69,496.46,5049.88,24.661956521739135
71,71,Ohio,Cleveland,372624,6538.45,27.77,128.97,699.88,700.14,1556.76,1518.87,2516.15,881.01,4916.04,65.65
72,72,Ohio,Columbus,905748,4501.8,16.28,105.37,225.06,166.7,513.41,815.29,2650.87,478.79,3944.94,43.45
73,73,Ohio,Toledo,270871,4003.74,12.63,59.94208333333333,281.47,661.82,726.7248958333333,1119.75,2615.15,268.84,4003.74,24.661956521739135
74,74,Oklahoma,Oklahoma City,648260,4552.5,12.49,73.12,172.77,528.95,787.34,941.75,2378.83,431.93,3752.51,12.65
75,75,Oklahoma,Tulsa,404868,6532.01,17.29,104.48,238.1,680.96,1040.83,1376.75,3224.26,854.6,5455.61,35.57
76,76,Oregon,Portland,610343,6239.99,3.7,67.45,160.92,283.64,515.7,729.13,3824.56,1123.33,5677.02,47.27
77,77,Pennsylvania,Philadelphia,1603797,4037.27,20.06,75.02,382.46,470.04,947.58,418.25,2297.23,348.0,3063.48,26.21
78,78,Pennsylvania,Pittsburgh,305932,3815.23,17.98,29.42,262.15,346.81,656.36,526.26,2365.89,222.27,3114.42,44.45
79,79,Tennessee,Memphis,652765,8357.07,27.73,90.38,529.59,1355.62,2003.32,1460.25,4224.49,613.08,6297.83,55.92
80,80,Tennessee,Nashville,674942,4966.5,16.3,72.9,303.14,745.84,1138.17,631.31,2806.61,380.03,3817.96,10.37
81,81,Texas,Arlington,397377,3721.91,4.78,63.92,144.95,303.24,516.89,453.22,2402.25,342.24,3197.72,7.3
82,82,Texas,Austin,971949,3612.23,2.57,85.81,101.55,224.91,414.84,450.64,2525.03,213.9,3189.57,7.82
83,83,Texas,Corpus Christi,329256,4285.11,6.38,70.46,142.75,482.91,702.49,677.89,2665.4,222.02,3565.31,17.31
84,84,Texas,Dallas,1304379,3985.95,12.48,62.08,327.0,373.09,774.64,737.66,1856.26,591.16,3185.09,26.22
85,85,Texas,El Paso,688667,2203.25,2.76,53.87,58.08,264.13,378.85,188.33,1514.37,116.17,1818.88,5.52
86,86,Texas,Fort Worth,873069,3792.83,8.02,65.17,147.3,339.72,560.21,585.98,2319.4,309.94,3215.32,17.3
87,87,Texas,Allen,236243,3355.44,3.39,54.6,135.03,123.6,316.62,513.88,2175.73,342.87,3032.47,6.35
88,88,Texas,Houston,2304580,5252.08,11.5,58.42,417.96,607.34,1095.23,731.66,2900.82,495.93,4128.41,28.44
89,89,Texas,Frisco,242062,2775.73,3.3,22.31,94.19,107.0,226.8,400.31,1845.39,293.73,2539.43,9.5
90,90,Texas,Laredo,260669,2832.71,3.84,43.73,59.08,215.22,321.86,335.29,2083.1,65.22,2483.61,27.24
91,91,Texas,Denton,290413,1892.14,5.17,27.89,40.98,75.75,149.79,250.68,1366.33,116.73,1733.74,8.61
92,92,Texas,San Antonio,1434625,5565.95,8.15,83.51,151.11,464.72,707.5,770.82,3622.65,451.37,4844.84,13.61
93,93,Virginia,Chesapeake,240119,2699.5,4.58,36.23,82.46,295.69,418.96,276.11,1891.98,104.12,2272.21,8.33
94,94,Virginia,Norfolk,245190,4308.09,14.68,55.06,151.31,334.84,555.9,471.47,2984.62,292.83,3748.93,3.26
95,95,Virginia,Virginia Beach,454353,2083.4,3.08,22.45,59.87,52.16,137.56,165.95,1667.65,101.02,1934.62,11.22
96,96,Washington,Seattle,721365,5911.99,3.74,36.87,210.02,382.05,632.69,1081.98,3673.45,503.21,5258.64,20.66
97,97,Washington,Vancouver,217066,7881.01,2.76,109.64,105.5,408.63,626.54,1023.19,5408.03,800.22,7231.44,23.03
98,98,Wisconsin,Madison,255850,3040.46,4.3,37.13,82.86,250.15,374.44,362.32,2130.94,168.85,2662.11,3.91
99,99,Wisconsin,Milwaukee,595168,5441.99,19.83,72.92,490.45,1014.17,1597.36,927.13,1940.29,924.61,3792.04,52.59
